Data provider	Dataset	Collector name	Field number	GUID	Date collected	Institution code	Collection code	Catalogue No	Basis of record	Image url	Last indexed	Identifier	Identification date	Scientific name	Author	Scientific name (interpreted)	Kingdom	Phylum	Class	Order	Family	Genus	Country	Country (interpreted)	Locality	County	Continent or Ocean	State/Province	Region	Provider country	Latitude	Longitude	Coordinate precision	Cell id	Centi cell id	Min depth	Max depth	Max depth	Min altitude	Max altitude	Altitude precision	GBIF portal url	GBIF webservice url	
European Environment Agency	EUNIS					EEA	EUNIS2	xISRSUcm6fYSlIpu4Mi44g==	Unknown		2007-10-10 02:05:55.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		48.0	4.0	70000	49864	0							http://data.gbif.org/occurrences/22545066	http://data.gbif.org/ws/rest/occurrence/get?key=22545066
European Environment Agency	EUNIS					EEA	EUNIS2	qSgA0HIfKCEyXT/YAb2DRg==	Unknown		2007-10-10 02:05:27.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		48.0	5.0	70000	49865	0							http://data.gbif.org/occurrences/22544469	http://data.gbif.org/ws/rest/occurrence/get?key=22544469
European Environment Agency	EUNIS					EEA	EUNIS2	YHqRA0QoftyYuB8n5PLU+Q==	Unknown		2007-10-10 02:05:56.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		France			Europe		Western Europe		48.0	6.0	70000	49866	0							http://data.gbif.org/occurrences/22545115	http://data.gbif.org/ws/rest/occurrence/get?key=22545115
European Environment Agency	EUNIS					EEA	EUNIS2	b/E3aUpVCjZ00CnRY4CPNA==	Unknown		2007-10-10 02:05:18.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				48.0	7.0	70000	49867	0							http://data.gbif.org/occurrences/22543077	http://data.gbif.org/ws/rest/occurrence/get?key=22543077
European Environment Agency	EUNIS					EEA	EUNIS2	BqB9G25psiksai0Ceycy4g==	Unknown		2007-10-10 02:05:19.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				48.0	13.0	70000	49873	0							http://data.gbif.org/occurrences/22543141	http://data.gbif.org/ws/rest/occurrence/get?key=22543141
European Environment Agency	EUNIS					EEA	EUNIS2	kTR2XX1NTcEGiWrlovnH9A==	Unknown		2007-10-10 02:05:23.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				48.0	16.0	70000	49876	0							http://data.gbif.org/occurrences/22544076	http://data.gbif.org/ws/rest/occurrence/get?key=22544076
European Environment Agency	EUNIS					EEA	EUNIS2	g3ll/p60lbAXY8Ir5D4mvw==	Unknown		2007-10-10 02:05:21.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Germany			Europe		Western Europe		49.0	8.0	70000	50228	0							http://data.gbif.org/occurrences/22543554	http://data.gbif.org/ws/rest/occurrence/get?key=22543554
European Environment Agency	EUNIS					EEA	EUNIS2	+QHqZfWOqSlP7yHC/OX+7g==	Unknown		2007-10-10 02:05:15.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Germany			Europe		Western Europe		49.0	10.0	70000	50230	0							http://data.gbif.org/occurrences/22542478	http://data.gbif.org/ws/rest/occurrence/get?key=22542478
European Environment Agency	EUNIS					EEA	EUNIS2	GR/HftJTWFIlalttLO+GjQ==	Unknown		2007-10-10 02:05:21.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				49.0	12.0	70000	50232	0							http://data.gbif.org/occurrences/22543617	http://data.gbif.org/ws/rest/occurrence/get?key=22543617
European Environment Agency	EUNIS					EEA	EUNIS2	5uUpLrxoIrT2yTsmEcJN7A==	Unknown		2007-10-10 02:05:17.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				49.0	22.0	70000	50242	0							http://data.gbif.org/occurrences/22542809	http://data.gbif.org/ws/rest/occurrence/get?key=22542809
European Environment Agency	EUNIS					EEA	EUNIS2	ePXFQVMNn3SBpDDIpcRzvQ==	Unknown		2007-10-10 02:05:20.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Germany			Europe		Western Europe		50.0	8.0	70000	50588	0							http://data.gbif.org/occurrences/22543367	http://data.gbif.org/ws/rest/occurrence/get?key=22543367
European Environment Agency	EUNIS					EEA	EUNIS2	lsym4USvBtw/HZR6Wc8+nA==	Unknown		2007-10-10 02:05:24.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Germany			Europe		Western Europe		50.0	9.0	70000	50589	0							http://data.gbif.org/occurrences/22544151	http://data.gbif.org/ws/rest/occurrence/get?key=22544151
European Environment Agency	EUNIS					EEA	EUNIS2	NPq6op5tkX8rignQpiK/vA==	Unknown		2007-10-10 02:05:25.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus		Germany			Europe		Western Europe		50.0	10.0	70000	50590	0							http://data.gbif.org/occurrences/22544288	http://data.gbif.org/ws/rest/occurrence/get?key=22544288
European Environment Agency	EUNIS					EEA	EUNIS2	JM0UAhVtn1UTs+8UHbcyVQ==	Unknown		2007-10-10 02:05:23.0			Haliaeetus albicilla	(Linnaeus, 1758)	Haliaeetus albicilla	Animalia	Chordata (Vertebrata)	Aves	Falconiformes	Accipitridae	Haliaeetus					Europe				50.0	12.0	70000	50592	0							http://data.gbif.org/occurrences/22543966	http://data.gbif.org/ws/rest/occurrence/get?key=22543966
