#id	#modified	Family	InstitutionCode	InfraspecificEpithet	Collector	Locality	Genus	InfraspecificRank	BasisOfRecord	MinimumElevationInMeters	SpecificEpithet	ScientificName	Country	EarliestDateCollected	NomenclaturalCode	CatalogNumber	AuthorYearOfScientificName	StateProvince	CollectionCode
a1fcf339-5872-4f64-92db-4fb8f152506e	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Scleranthus		PreservedSpecimen	2650	uncinatus	Scleranthus uncinatus Schur	Turkey	1999-08-01 00:00:00.0	ICBN	1076	Schur	Nigde	PonTaurus collection
9a485ba3-6264-4747-ada3-ec4c70659863	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Scorzonera	Variety	PreservedSpecimen	2650	cana	Scorzonera cana var. radicosa (Boiss.) D.F.Chamb.	Turkey	1999-08-01 00:00:00.0	ICBN	1077	(Boiss.) D.F.Chamb.	Nigde	PonTaurus collection
6cd49fdd-1ccd-460f-8bfd-21df633df583	2008-08-04 10:52:48.0	Poaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Poa		PreservedSpecimen	2650	bulbosa agg.	Poa bulbosa agg. L.	Turkey	1999-08-01 00:00:00.0	ICBN	1078	L.	Nigde	PonTaurus collection
fa6d42a7-cd34-4756-a680-bfabd3635101	2008-08-04 10:52:48.0	Rubiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Galium		PreservedSpecimen	2650	cilicicum	Galium cilicicum Boiss.	Turkey	1999-08-01 00:00:00.0	ICBN	1079	Boiss.	Nigde	PonTaurus collection
f8da9390-d2dc-4dce-bcc7-470d2faec210	2008-08-04 10:52:48.0	Liliaceae		\n	Markus Döring	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Gagea		PreservedSpecimen	2180	uliginosa	Gagea uliginosa Siehe & Pascher	Turkey	1999-06-21 00:00:00.0	ICBN	108	Siehe & Pascher	Mugla	PonTaurus collection
a61bbaa8-4e40-4129-aa5f-eab052cd9c17	2008-08-04 10:52:48.0	Fabaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Astragalus		PreservedSpecimen	2650	depressus	Astragalus depressus L.	Turkey	1999-08-01 00:00:00.0	ICBN	1080	L.	Nigde	PonTaurus collection
7acdea7f-9e5b-4f8c-9443-43b9b2432db6	2008-08-04 10:52:48.0	Brassicaceae		strigosum	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Alyssum	Subspecies	PreservedSpecimen	2650	strigosum	Alyssum strigosum subsp. strigosum	Turkey	1999-08-01 00:00:00.0	ICBN	1081	\n	Nigde	PonTaurus collection
a569e852-bcc5-4c31-a8b1-72be58a67dbd	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Taraxacum		PreservedSpecimen	2650	assemanii	Taraxacum assemanii Blanche	Turkey	1999-08-01 00:00:00.0	ICBN	1082	Blanche	Nigde	PonTaurus collection
9eb98799-fddd-4243-b7f4-acce88ff63a9	2008-08-04 10:52:48.0	Boraginaceae		alpestris	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Myosotis	Subspecies	PreservedSpecimen	2650	alpestris	Myosotis alpestris subsp. alpestris	Turkey	1999-08-01 00:00:00.0	ICBN	1083	\n	Nigde	PonTaurus collection
e64a759e-5df2-4fc3-9c6d-6dfa397a7ead	2008-08-04 10:52:48.0	Rubiaceae		centrale	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Galium	Subspecies	PreservedSpecimen	2650	incanum	Galium incanum subsp. centrale Ehrend.	Turkey	1999-08-01 00:00:00.0	ICBN	1084	Ehrend.	Nigde	PonTaurus collection
a7dfa51e-18ac-44c9-b8a5-4123d1033c2d	2008-08-04 10:52:48.0	Polygonaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Polygonum		PreservedSpecimen	2650	arenastrum	Polygonum arenastrum Bor.	Turkey	1999-08-01 00:00:00.0	ICBN	1085	Bor.	Nigde	PonTaurus collection
3053c0cc-3f9c-4a1b-899c-c44f98a22155	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Herniaria		PreservedSpecimen	2650	glabra	Herniaria glabra L.	Turkey	1999-08-01 00:00:00.0	ICBN	1086	L.	Nigde	PonTaurus collection
b933e9b8-ecfb-4370-b6d1-0086335ca954	2008-08-04 10:52:48.0	Asteraceae		extrarosularis	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Centaurea	Subspecies	PreservedSpecimen	2650	pichleri	Centaurea pichleri subsp. extrarosularis (Hayek & Siehe) Wagenitz	Turkey	1999-08-01 00:00:00.0	ICBN	1087	(Hayek & Siehe) Wagenitz	Nigde	PonTaurus collection
06e7eb5f-d7fe-4cdb-952e-2144b698d28c	2008-08-04 10:52:48.0	Caryophyllaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Silene		PreservedSpecimen	2650	fenzlii	Silene fenzlii Boiss. & Bal.	Turkey	1999-08-01 00:00:00.0	ICBN	1088	Boiss. & Bal.	Nigde	PonTaurus collection
e2158a93-2869-4bbd-964b-58a126213da0	2008-08-04 10:52:48.0	Rosaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Potentilla		PreservedSpecimen	2650	meyeri	Potentilla meyeri Boiss.	Turkey	1999-08-01 00:00:00.0	ICBN	1089	Boiss.	Nigde	PonTaurus collection
2990c254-8985-4a0e-879e-3a9c8936fdfc	2008-08-04 10:52:48.0	Brassicaceae		\n	Markus Döring	Sandras Dagi above Agla, ascent from Çirali to the Çiçekbaba Tepesi (main summit), valley below the eastern slope of the summit, 2180m	Alyssum		PreservedSpecimen	2180	masmenaeum	Alyssum masmenaeum Boiss.	Turkey	1999-06-21 00:00:00.0	ICBN	109	Boiss.	Mugla	PonTaurus collection
bff45a37-4fe6-42bc-953d-faf9abd8b9ee	2008-08-04 10:52:48.0	Asteraceae		plicatum	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Helichrysum	Subspecies	PreservedSpecimen	2650	plicatum	Helichrysum plicatum subsp. plicatum	Turkey	1999-08-01 00:00:00.0	ICBN	1090	\n	Nigde	PonTaurus collection
a7f0d2b9-79c7-4c8a-aea3-1cd4e4e9158d	2008-08-04 10:52:48.0	Lamiaceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Marrubium		PreservedSpecimen	2650	heterodon	Marrubium heterodon (Benth.) Boiss. & Balansa	Turkey	1999-08-01 00:00:00.0	ICBN	1091	(Benth.) Boiss. & Balansa	Nigde	PonTaurus collection
3bbfd736-f049-4d6a-bad5-2c0d875d8c10	2008-08-04 10:52:48.0	Asteraceae		\n	Markus Döring	d. Ulukisla, Bolkar Daglari above Meydan, basin and adjoining slopes around tarn Karagöl, 2650m	Leontodon	Variety	PreservedSpecimen	2650	oxylepis	Leontodon oxylepis var. oxylepis	Turkey	1999-08-01 00:00:00.0	ICBN	1092	\n	Nigde	PonTaurus collection
