"ID","URI","ISSUED","IDENTIFIER","VOCABULARY_FK","CONCEPT_ORDER","LINK"
"95193","http://rs.tdwg.org/ontology/voc/TaxonRank#Infrasection","2008-10-12 23:44:55.0","infrasection","16","69",
"95194","http://rs.tdwg.org/ontology/voc/TaxonRank#Infraclass","2008-10-12 23:44:53.0","infraclass","16","70",
"95195","http://rs.tdwg.org/ontology/voc/TaxonRank#Grade","2008-10-12 23:44:53.0","grade","16","71",
"95196","http://rs.tdwg.org/ontology/voc/TaxonRank#Superclass","2008-10-12 23:44:53.0","superclass","16","72",
"95197","http://rs.tdwg.org/ontology/voc/TaxonRank#Microphylum","2008-10-12 23:44:53.0","microphylum","16","73",
"95198","http://rs.tdwg.org/ontology/voc/TaxonRank#Subphylum","2008-10-12 23:44:53.0","subphylum","16","74",
"95199","http://rs.tdwg.org/ontology/voc/TaxonRank#Parvclass","2008-10-12 23:44:53.0","parvclass","16","75",
"95200","http://rs.tdwg.org/ontology/voc/TaxonRank#Midphylum","2008-10-12 23:44:52.0","midphylum","16","76",
"95201","http://rs.tdwg.org/ontology/voc/TaxonRank#Branch","2008-10-12 23:44:52.0","branch","16","77",
"95202","http://rs.tdwg.org/ontology/voc/TaxonRank#Superphylum","2008-10-12 23:44:52.0","superphylum","16","78",
"95203","http://rs.tdwg.org/ontology/voc/TaxonRank#Infraphylum","2008-10-12 23:44:53.0","infraphylum","16","79",
"95204","http://rs.tdwg.org/ontology/voc/TaxonRank#Section","2008-10-12 23:44:53.0","section","16","80",
"95205","http://rs.tdwg.org/ontology/voc/TaxonRank#Supraphylum","2008-10-12 23:44:52.0","supraphylum","16","81",
"95206","http://rs.tdwg.org/ontology/voc/TaxonRank#Subgroup","2008-10-12 23:44:53.0","subgroup","16","82",
"95207","http://rs.tdwg.org/ontology/voc/TaxonRank#Hyperorder","2008-10-12 23:44:54.0","hyperorder","16","83",
"95208","http://rs.tdwg.org/ontology/voc/TaxonRank#Capaxorder","2008-10-12 23:44:54.0","capaxorder","16","84",
"95209","http://rs.tdwg.org/ontology/voc/TaxonRank#Megaorder","2008-10-12 23:44:54.0","megaorder","16","85",
"95210","http://rs.tdwg.org/ontology/voc/TaxonRank#Gigaorder","2008-10-12 23:44:54.0","gigaorder","16","86",
"95211","http://rs.tdwg.org/ontology/voc/TaxonRank#Infracohort","2008-10-12 23:44:54.0","infracohort","16","87",
"95212","http://rs.tdwg.org/ontology/voc/TaxonRank#Subcohort","2008-10-12 23:44:54.0","subcohort","16","88",
"95213","http://rs.tdwg.org/ontology/voc/TaxonRank#Infralegion","2008-10-12 23:44:54.0","infralegion","16","89",
"95214","http://rs.tdwg.org/ontology/voc/TaxonRank#Supercohort","2008-10-12 23:44:54.0","supercohort","16","90",
"95215","http://rs.tdwg.org/ontology/voc/TaxonRank#Group","2008-10-12 23:44:53.0","group","16","91",
"95216","http://rs.tdwg.org/ontology/voc/TaxonRank#Sublegion","2008-10-12 23:44:53.0","sublegion","16","92",
"95217","http://rs.tdwg.org/ontology/voc/TaxonRank#Cultivar-group","2008-10-12 23:44:56.0","cultivar-group","16","93",
"95218","http://rs.tdwg.org/ontology/voc/TaxonRank#Superlegion","2008-10-12 23:44:53.0","superlegion","16","94",
"95219","http://rs.tdwg.org/ontology/voc/TaxonRank#Cohort","2008-10-12 23:44:54.0","cohort","16","95",
"95220","http://rs.tdwg.org/ontology/voc/TaxonRank#Infrakingdom","2008-10-12 23:44:52.0","infrakingdom","16","96",
"95221","http://rs.tdwg.org/ontology/voc/TaxonRank#Monster","2008-10-12 23:44:56.0","monster","16","97",
"95222","http://rs.tdwg.org/ontology/voc/TaxonRank#Subkingdom","2008-10-12 23:44:52.0","subkingdom","16","98",
"95223","http://rs.tdwg.org/ontology/voc/TaxonRank#Subform","2008-10-12 23:44:52.0","subform","16","99",
"95224","http://rs.tdwg.org/ontology/voc/TaxonRank#Prole","2008-10-12 23:44:57.0","prole","16","100",
"95225","http://rs.tdwg.org/ontology/voc/TaxonRank#Suprageneric-Taxon","2008-10-12 23:44:57.0","suprageneric-taxon","16","101",
"95226","http://rs.tdwg.org/ontology/voc/TaxonRank#Subvariety","2008-10-12 23:44:56.0","subvariety","16","102",
"95227","http://rs.tdwg.org/ontology/voc/TaxonRank#UnCatalogued-ranks","2008-10-12 23:44:52.0","uncatalogued-ranks","16","103",
"95228","http://rs.tdwg.org/ontology/voc/TaxonRank#Convar","2008-10-12 23:44:56.0","convar","16","104",
"95229","http://rs.tdwg.org/ontology/voc/TaxonRank#Strain","2008-10-12 23:44:56.0","strain","16","105",
"95230","http://rs.tdwg.org/ontology/voc/TaxonRank#Supervariety","2008-10-12 23:44:56.0","supervariety","16","106",
"95231","http://rs.tdwg.org/ontology/voc/TaxonRank#Subsection","2008-10-12 23:44:55.0","subsection","16","107",
"95232","http://rs.tdwg.org/ontology/voc/TaxonRank#Hybrid","2008-10-12 23:44:56.0","hybrid","16","108",
"95233","http://rs.tdwg.org/ontology/voc/TaxonRank#Species-group","2008-10-12 23:44:56.0","species-group","16","109",
"95234","http://rs.tdwg.org/ontology/voc/TaxonRank#Complex","2008-10-12 23:44:56.0","complex","16","110",
"95235","http://rs.tdwg.org/ontology/voc/TaxonRank#Superspecies","2008-10-12 23:44:56.0","superspecies","16","111",
"95236","http://rs.tdwg.org/ontology/voc/TaxonRank#Candidate","2008-10-12 23:44:57.0","candidate","16","112",
"95237","http://rs.tdwg.org/ontology/voc/TaxonRank#Interkingdom","2008-10-12 23:44:52.0","interkingdom","16","113",
"95238","http://rs.tdwg.org/ontology/voc/TaxonRank#Superdomain","2008-10-12 23:44:52.0","superdomain","16","114",
"95239","http://rs.tdwg.org/ontology/voc/TaxonRank#Microspecies","2008-10-12 23:44:56.0","microspecies","16","115",
"95240","http://rs.tdwg.org/ontology/voc/TaxonRank#Infravariety","2008-10-12 23:44:56.0","infravariety","16","116",
"95241","http://rs.tdwg.org/ontology/voc/TaxonRank#Midkingdom","2008-10-12 23:44:52.0","midkingdom","16","117",
"95242","http://rs.tdwg.org/ontology/voc/TaxonRank#Suprakingdom","2008-10-12 23:44:52.0","suprakingdom","16","118",
"95243","http://rs.tdwg.org/ontology/voc/TaxonRank#Superkingdom","2008-10-12 23:44:52.0","superkingdom","16","119",
"95244","http://rs.tdwg.org/ontology/voc/TaxonRank#Infradomain","2008-10-12 23:44:52.0","infradomain","16","120",
"95245","http://rs.tdwg.org/ontology/voc/TaxonRank#Subdomain","2008-10-12 23:44:52.0","subdomain","16","121",
"95246","http://rs.tdwg.org/ontology/voc/TaxonRank#Empire","2008-10-12 23:44:52.0","empire","16","122",
"95247","http://rs.tdwg.org/ontology/voc/TaxonRank#Magnorder","2008-10-12 23:44:54.0","magnorder","16","123",
