"ID","PREFERRED","CREATED","LANG","MODIFIED","RELATION","SOURCE","TITLE","CONCEPT_FK"
"97392","TRUE",,"en","2008-10-12 23:44:56.0",,,"morph","95167"
"97393","TRUE",,"en","2008-10-12 23:44:56.0",,,"race","95168"
"97394","TRUE",,"en","2008-10-12 23:44:56.0",,,"near","95169"
"97395","TRUE",,"en","2008-10-12 23:44:56.0",,,"superform","95170"
"97396","TRUE",,"en","2008-10-12 23:44:54.0",,,"grandorder","95171"
"97397","TRUE",,"en","2008-10-12 23:44:56.0",,,"infraform","95172"
"97398","TRUE",,"en","2008-10-12 23:44:55.0",,,"infragenus","95173"
"97399","TRUE",,"en","2008-10-12 23:44:56.0",,,"incertae sedie","95174"
"97400","TRUE",,"en","2008-10-12 23:44:57.0",,,"Bio-Variety","95175"
"97401","TRUE",,"en","2008-10-12 23:44:56.0",,,"mutant","95176"
"97402","TRUE",,"en","2008-10-12 23:44:57.0",,,"serovar","95177"
"97403","TRUE",,"en","2008-10-12 23:44:55.0",,,"infraseries","95178"
"97404","TRUE",,"en","2008-10-12 23:44:55.0",,,"superseries","95179"
"97405","TRUE",,"en","2008-10-12 23:44:57.0",,,"sub sub variety","95180"
"97406","TRUE",,"en","2008-10-12 23:44:57.0",,,"morphovar","95181"
"97407","TRUE",,"en","2008-10-12 23:44:57.0",,,"Patho-variety","95182"
"97408","TRUE",,"en","2008-10-12 23:44:57.0",,,"Infraspecific Taxon","95183"
"97409","TRUE",,"en","2008-10-12 23:44:57.0",,,"Species Aggregate","95184"
"97410","TRUE",,"en","2008-10-12 23:44:57.0",,,"InfragenericTaxon","95185"
"97411","TRUE",,"en","2008-10-12 23:44:57.0",,,"DenominationClass","95186"
"97412","TRUE",,"en","2008-10-12 23:44:57.0",,,"Grex","95187"
"97413","TRUE",,"en","2008-10-12 23:44:57.0",,,"Graft-chimaera","95188"
"97414","TRUE",,"en","2008-10-12 23:44:57.0",,,"Special Form","95189"
"97415","TRUE",,"en","2008-10-12 23:44:57.0",,,"infraspecies","95190"
"97416","TRUE",,"en","2008-10-12 23:44:55.0",,,"supersection","95191"
"97417","TRUE",,"en","2008-10-12 23:44:53.0",,,"legion","95192"
"97418","TRUE",,"en","2008-10-12 23:44:55.0",,,"infrasection","95193"
"97419","TRUE",,"en","2008-10-12 23:44:53.0",,,"infraclass","95194"
"97420","TRUE",,"en","2008-10-12 23:44:53.0",,,"grade","95195"
"97421","TRUE",,"en","2008-10-12 23:44:53.0",,,"superclass","95196"
"97422","TRUE",,"en","2008-10-12 23:44:53.0",,,"microphylum","95197"
"97423","TRUE",,"en","2008-10-12 23:44:53.0",,,"subphylum","95198"
"97424","TRUE",,"en","2008-10-12 23:44:53.0",,,"parvclass","95199"
"97425","TRUE",,"en","2008-10-12 23:44:52.0",,,"midphylum","95200"
"97426","TRUE",,"en","2008-10-12 23:44:52.0",,,"branch","95201"
"97427","TRUE",,"en","2008-10-12 23:44:52.0",,,"superphylum","95202"
"97428","TRUE",,"en","2008-10-12 23:44:53.0",,,"infraphylum","95203"
