CatalogNumber	Latitude	Longitude
573	37.68000	31.31000
574	37.68000	31.31000
575	37.68000	31.31000
576	37.68000	31.31000
577	37.68000	31.31000
578	37.68000	31.31000
579	37.68000	31.31000
58	37.07000	28.80000
580	37.68000	31.31000
581	37.68000	31.31000
582	37.68000	31.31000
583	37.68000	31.31000
584	37.68000	31.31000
585a	37.68000	31.31000
585b	37.68000	31.31000
586	37.68000	31.31000
587	37.68000	31.31000
588	37.68000	31.31000
589	36.82400	30.33700
590	37.68000	31.31000
591	37.68000	31.31000
592	37.68000	31.31000
593	37.68000	31.31000
594	37.68000	31.31000
595	37.68000	31.31000
596	37.68000	31.31000
597	37.68000	31.31000
598	37.68000	31.31000
599	37.68000	31.31000
60	37.07000	28.80000
600	37.68000	31.31000
601	37.68000	31.31000
602	37.68000	31.31000
603	37.68000	31.31000
604	37.68000	31.31000
604x60	37.68000	31.31000
605	37.68000	31.31000
606	37.68000	31.31000
607	37.68000	31.31000
608	37.68000	31.31000
609	37.68000	31.31000
610	37.68000	31.31000
611	37.68000	31.31000
612	37.68000	31.31000
613	37.68000	31.31000
614	37.68000	31.31000
615	37.68000	31.31000
616	37.68000	31.31000
617	37.68000	31.31000
618	37.68000	31.31000
619	37.68000	31.31000
620	37.68000	31.31000
621	37.68000	31.31000
622	37.68000	31.31000
623	37.68000	31.31000
624	37.68000	31.31000
625	37.68000	31.31000
626	37.68000	31.31000
627	37.68000	31.31000
628	37.68000	31.31000
629	37.68000	31.31000
630	37.68000	31.31000
631	37.68000	31.31000
632	37.68000	31.31000
633	37.68000	31.31000
634	37.68000	31.31000
635	37.68000	31.31000
636	37.68000	31.31000
640	37.68000	31.31000
641	36.83300	32.14700
642	36.83300	32.14700
643	36.83300	32.14700
644	36.83300	32.14700
645	36.83300	32.14700
646	36.83300	32.14700
647	36.83300	32.14700
648	36.83300	32.14700
649	36.83300	32.14700
65	37.07000	28.80000
650	36.83300	32.14700
651	36.83300	32.14700
652	36.83300	32.14700
652x66	36.83300	32.14700
653	36.83300	32.14700
654	36.83300	32.14700
655	36.83300	32.14700
656	36.83300	32.14700
657	36.83300	32.14700
658	36.83300	32.14700
659	36.83300	32.14700
660	36.83300	32.14700
661	36.83300	32.14700
662	36.83300	32.14700
663	36.83300	32.14700
664	36.83300	32.14700
665	36.83300	32.14700
666	36.83300	32.14700
667a	36.83300	32.14700
667b	36.83300	32.14700
668	36.83300	32.14700
669a	36.83300	32.14700
