"ID","FAMILY","INSTITUTION_CODE","INFRASPECIFIC_EPITHET","REMARKS","COLLECTOR","KINGDOM","LOCALITY","GENUS","INFRASPECIFIC_RANK","BASIS_OF_RECORD","PHYLUM","SPECIFIC_EPITHET","MINIMUM_ELEVATION_IN_METERS","CLASS","SCIENTIFIC_NAME","NOMENCLATURAL_CODE","EARLIEST_DATE_COLLECTED","COUNTRY","CATALOG_NUMBER","STATE_PROVINCE","AUTHOR_YEAR_OF_SCIENTIFIC_NAME","ORDER","CONTINENT","COLLECTION_CODE"
"4035","Apiaceae","BGBM","microcarpum",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2450m","Bunium","Subspecies","PreservedSpecimen","Magnoliophyta","microcarpum","2450",,"Bunium microcarpum subsp. microcarpum","ICBN","1999-07-15 00:00:00.0","TR","542","Ïsparta/Konya",,"Apiales","Asia","B"
"4036","Rubiaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2450m","Cruciata",,"PreservedSpecimen","Magnoliophyta","taurica","2450",,"Cruciata taurica (Pall. ex Willd.) Ehrend.","ICBN","1999-07-15 00:00:00.0","TR","543","Ïsparta/Konya","(Pall. ex Willd.) Ehrend.","Rubiales","Asia","B"
"4037","Poaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Poa",,"PreservedSpecimen","Magnoliophyta","pratensis","2420",,"Poa pratensis L.","ICBN","1999-07-15 00:00:00.0","TR","544","Ïsparta/Konya","L.","Cyperales","Asia","B"
"4038","Poaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Poa",,"PreservedSpecimen","Magnoliophyta","bulbosa agg.","2420",,"Poa bulbosa agg. L.","ICBN","1999-07-15 00:00:00.0","TR","545","Ïsparta/Konya","L.","Cyperales","Asia","B"
"4039","Liliaceae","BGBM","rotundum",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Allium","Subspecies","PreservedSpecimen","Magnoliophyta","cf. scorodoprasum","2420",,"Allium cf. scorodoprasum subsp. rotundum (L.) Stearn","ICBN","1999-07-15 00:00:00.0","TR","546","Ïsparta/Konya","(L.) Stearn","Liliales","Asia","B"
"4040","Asteraceae","BGBM","canescens",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Achillea","Subspecies","PreservedSpecimen","Magnoliophyta","kotschyi","2420",,"Achillea kotschyi subsp. canescens Bässler","ICBN","1999-07-15 00:00:00.0","TR","547","Ïsparta/Konya","Bässler","Asterales","Asia","B"
"4041","Asteraceae","BGBM","canescens",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2200m","Achillea","Subspecies","PreservedSpecimen","Magnoliophyta","kotschyi","2200",,"Achillea kotschyi subsp. canescens Bässler","ICBN","1999-07-16 00:00:00.0","TR","547x56","Ïsparta/Konya","Bässler","Asterales","Asia","B"
"4042","Brassicaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Hesperis",,"PreservedSpecimen","Magnoliophyta","spec.","2420",,"Hesperis spec.","ICBN","1999-07-15 00:00:00.0","TR","548","Ïsparta/Konya",,"Capparales","Asia","B"
"4043","Fabaceae","BGBM",,,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Astragalus",,"PreservedSpecimen","Magnoliophyta","depressus","2420",,"Astragalus depressus L.","ICBN","1999-07-15 00:00:00.0","TR","549","Ïsparta/Konya","L.","Fabales","Asia","B"
"4044","Scrophulariaceae","BGBM","cuneifolia",,"Markus Döring","Plantae","Dedegöl Daglari, Dipoyraz (Dedegöl) Dagi, range above the firewatch tower (ascent from Yenisarbademli village), 2420m","Veronica","Subspecies","PreservedSpecimen","Magnoliophyta","cuneifolia","2420",,"Veronica cuneifolia subsp. cuneifolia","ICBN","1999-07-15 00:00:00.0","TR","550","Ïsparta/Konya",,"Scrophulariales","Asia","B"
